Field,Type,韓国語,ベトナム語,ドイツ語,繁体中国語,簡体中国語,英語,日本語
Applicable license terms,Text,,,,,,,"適用範囲
本条項は、Microsoft Store から入手した本アプリ（実行ファイル）の利用に適用されます。ソースコードの利用・改変・再配布は MIT ライセンスに従い、本条項の対象外です。

使用許諾・商用利用
非独占的、譲渡不可の形で、本アプリを個人・商用目的で利用できます。サポートや保守の提供義務はありません。

ユーザーの責任・禁止事項
本アプリの利用は自己責任です。法令・公序良俗に反する行為、第三者の権利侵害、不正利用は禁止します。改変やリバースエンジニアリング等を行う場合、その配布・利用を含め一切を自己の責任で行ってください。

第三者サービスの利用
本アプリは DeepL、Google など第三者サービス／ライブラリと連携します。これらの利用条件・プライバシーポリシーを遵守し、発生し得る損害・トラブルについて当方は責任を負いません。

プライバシー
本アプリ自体は個人情報や利用状況を収集しません（エラーログやクラッシュレポートも収集しません）。ただし、ユーザーが選択した翻訳エンジン等の第三者サービスは各社の方針に従います。詳細はプライバシーポリシーをご参照ください。

保証の否認（無保証）
本アプリは「現状有姿（AS IS）」で提供され、商品性・特定目的適合性・権利非侵害などいかなる保証も行いません。

責任の制限
当方は、本アプリの利用または第三者サービスとの連携に起因または関連して発生する直接・間接・結果的・特別損害、逸失利益、データ損失等について、法令で免責が認められない場合を除き、責任を負いません。

アップデート
当方は本アプリの更新・機能追加・修正を行う場合がありますが、その実施や継続を保証しません。

規約の変更
当方は本条項を随時変更でき、変更後は公表時点で効力を生じます。変更後も利用を継続する場合、ユーザーは変更に同意したものとみなされます。

準拠法・管轄
本条項は日本法に準拠し、紛争は日本国内の管轄裁判所を専属的管轄とします。

連絡先
お問い合わせは GitHub アカウント（Freeesia）までご連絡ください。"
Copyright,Text,,,,,,,
DevelopedBy,Text,,,,,,,StudioFreesia
RequirementsMinimum1,Text,,,,,,,
RequirementsMinimum2,Text,,,,,,,
RequirementsMinimum3,Text,,,,,,,
RequirementsMinimum4,Text,,,,,,,
RequirementsMinimum5,Text,,,,,,,
RequirementsMinimum6,Text,,,,,,,
RequirementsMinimum7,Text,,,,,,,
RequirementsMinimum8,Text,,,,,,,
RequirementsMinimum9,Text,,,,,,,
RequirementsMinimum10,Text,,,,,,,
RequirementsMinimum11,Text,,,,,,,
RequirementsRecommended1,Text,,,,,,,
RequirementsRecommended2,Text,,,,,,,
RequirementsRecommended3,Text,,,,,,,
RequirementsRecommended4,Text,,,,,,,
RequirementsRecommended5,Text,,,,,,,
RequirementsRecommended6,Text,,,,,,,
RequirementsRecommended7,Text,,,,,,,
RequirementsRecommended8,Text,,,,,,,
RequirementsRecommended9,Text,,,,,,,
RequirementsRecommended10,Text,,,,,,,
RequirementsRecommended11,Text,,,,,,,
StoreLogos1,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,,,,,,,
StoreLogos2,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,,,,,,,
Screenshots1,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,,,,,,,
Screenshots2,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,,,,,,,
Screenshots3,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,,,,,,,
Screenshots4,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,,,,,,,
Screenshots5,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,,,,,,,
Screenshots6,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,,,,,,,
Screenshots7,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,,,,,,,
Screenshots8,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,,,,,,,
Screenshots9,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,,,,,,,
Screenshots10,Provide the file name only if it is in the same folder. Provide relative path to image starting with the subfolder name otherwise,,,,,,,
HeroArts,Text,,,,,,,
Trailers,Text,,,,,,,
