Field,ID,Type (種類),default,ja,en,de,ko,vi,zh-cn,zh-tw
XboxScreenshot26,325,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
XboxScreenshot27,326,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
XboxScreenshot28,327,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
XboxScreenshot29,328,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
XboxScreenshot30,329,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
XboxScreenshotCaption1,350,テキスト,,,,,,,,
XboxScreenshotCaption2,351,テキスト,,,,,,,,
XboxScreenshotCaption3,352,テキスト,,,,,,,,
XboxScreenshotCaption4,353,テキスト,,,,,,,,
XboxScreenshotCaption5,354,テキスト,,,,,,,,
XboxScreenshotCaption6,355,テキスト,,,,,,,,
XboxScreenshotCaption7,356,テキスト,,,,,,,,
XboxScreenshotCaption8,357,テキスト,,,,,,,,
XboxScreenshotCaption9,358,テキスト,,,,,,,,
XboxScreenshotCaption10,359,テキスト,,,,,,,,
XboxScreenshotCaption11,360,テキスト,,,,,,,,
XboxScreenshotCaption12,361,テキスト,,,,,,,,
XboxScreenshotCaption13,362,テキスト,,,,,,,,
XboxScreenshotCaption14,363,テキスト,,,,,,,,
XboxScreenshotCaption15,364,テキスト,,,,,,,,
XboxScreenshotCaption16,365,テキスト,,,,,,,,
XboxScreenshotCaption17,366,テキスト,,,,,,,,
XboxScreenshotCaption18,367,テキスト,,,,,,,,
XboxScreenshotCaption19,368,テキスト,,,,,,,,
XboxScreenshotCaption20,369,テキスト,,,,,,,,
XboxScreenshotCaption21,370,テキスト,,,,,,,,
XboxScreenshotCaption22,371,テキスト,,,,,,,,
XboxScreenshotCaption23,372,テキスト,,,,,,,,
XboxScreenshotCaption24,373,テキスト,,,,,,,,
XboxScreenshotCaption25,374,テキスト,,,,,,,,
XboxScreenshotCaption26,375,テキスト,,,,,,,,
XboxScreenshotCaption27,376,テキスト,,,,,,,,
XboxScreenshotCaption28,377,テキスト,,,,,,,,
XboxScreenshotCaption29,378,テキスト,,,,,,,,
XboxScreenshotCaption30,379,テキスト,,,,,,,,
HolographicScreenshot1,400,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
HolographicScreenshot2,401,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
HolographicScreenshot3,402,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
HolographicScreenshot4,403,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
HolographicScreenshot5,404,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
HolographicScreenshot6,405,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
HolographicScreenshot7,406,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
HolographicScreenshot8,407,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
HolographicScreenshot9,408,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
HolographicScreenshot10,409,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
HolographicScreenshot11,410,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
HolographicScreenshot12,411,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
HolographicScreenshot13,412,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
HolographicScreenshot14,413,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
HolographicScreenshot15,414,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
HolographicScreenshot16,415,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
HolographicScreenshot17,416,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
HolographicScreenshot18,417,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
HolographicScreenshot19,418,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
HolographicScreenshot20,419,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
HolographicScreenshot21,420,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
HolographicScreenshot22,421,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
HolographicScreenshot23,422,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
HolographicScreenshot24,423,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
HolographicScreenshot25,424,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
HolographicScreenshot26,425,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
HolographicScreenshot27,426,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
HolographicScreenshot28,427,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
HolographicScreenshot29,428,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
HolographicScreenshot30,429,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
HolographicScreenshotCaption1,450,テキスト,,,,,,,,
HolographicScreenshotCaption2,451,テキスト,,,,,,,,
HolographicScreenshotCaption3,452,テキスト,,,,,,,,
HolographicScreenshotCaption4,453,テキスト,,,,,,,,
HolographicScreenshotCaption5,454,テキスト,,,,,,,,
HolographicScreenshotCaption6,455,テキスト,,,,,,,,
HolographicScreenshotCaption7,456,テキスト,,,,,,,,
HolographicScreenshotCaption8,457,テキスト,,,,,,,,
HolographicScreenshotCaption9,458,テキスト,,,,,,,,
HolographicScreenshotCaption10,459,テキスト,,,,,,,,
HolographicScreenshotCaption11,460,テキスト,,,,,,,,
HolographicScreenshotCaption12,461,テキスト,,,,,,,,
HolographicScreenshotCaption13,462,テキスト,,,,,,,,
HolographicScreenshotCaption14,463,テキスト,,,,,,,,
HolographicScreenshotCaption15,464,テキスト,,,,,,,,
HolographicScreenshotCaption16,465,テキスト,,,,,,,,
HolographicScreenshotCaption17,466,テキスト,,,,,,,,
HolographicScreenshotCaption18,467,テキスト,,,,,,,,
HolographicScreenshotCaption19,468,テキスト,,,,,,,,
HolographicScreenshotCaption20,469,テキスト,,,,,,,,
HolographicScreenshotCaption21,470,テキスト,,,,,,,,
HolographicScreenshotCaption22,471,テキスト,,,,,,,,
HolographicScreenshotCaption23,472,テキスト,,,,,,,,
HolographicScreenshotCaption24,473,テキスト,,,,,,,,
HolographicScreenshotCaption25,474,テキスト,,,,,,,,
HolographicScreenshotCaption26,475,テキスト,,,,,,,,
HolographicScreenshotCaption27,476,テキスト,,,,,,,,
HolographicScreenshotCaption28,477,テキスト,,,,,,,,
HolographicScreenshotCaption29,478,テキスト,,,,,,,,
HolographicScreenshotCaption30,479,テキスト,,,,,,,,
SurfaceHubScreenshot11,510,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
SurfaceHubScreenshot12,511,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
SurfaceHubScreenshot13,512,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
SurfaceHubScreenshot14,513,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
SurfaceHubScreenshot15,514,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
SurfaceHubScreenshot16,515,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
SurfaceHubScreenshot17,516,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
SurfaceHubScreenshot18,517,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
SurfaceHubScreenshot19,518,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
SurfaceHubScreenshot20,519,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
SurfaceHubScreenshot21,520,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
SurfaceHubScreenshot22,521,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
SurfaceHubScreenshot23,522,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
SurfaceHubScreenshot24,523,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
SurfaceHubScreenshot25,524,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
SurfaceHubScreenshot26,525,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
SurfaceHubScreenshot27,526,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
SurfaceHubScreenshot28,527,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
SurfaceHubScreenshot29,528,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
SurfaceHubScreenshot30,529,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
SurfaceHubScreenshotCaption11,560,テキスト,,,,,,,,
SurfaceHubScreenshotCaption12,561,テキスト,,,,,,,,
SurfaceHubScreenshotCaption13,562,テキスト,,,,,,,,
SurfaceHubScreenshotCaption14,563,テキスト,,,,,,,,
SurfaceHubScreenshotCaption15,564,テキスト,,,,,,,,
SurfaceHubScreenshotCaption16,565,テキスト,,,,,,,,
SurfaceHubScreenshotCaption17,566,テキスト,,,,,,,,
SurfaceHubScreenshotCaption18,567,テキスト,,,,,,,,
SurfaceHubScreenshotCaption19,568,テキスト,,,,,,,,
SurfaceHubScreenshotCaption20,569,テキスト,,,,,,,,
SurfaceHubScreenshotCaption21,570,テキスト,,,,,,,,
SurfaceHubScreenshotCaption22,571,テキスト,,,,,,,,
SurfaceHubScreenshotCaption23,572,テキスト,,,,,,,,
SurfaceHubScreenshotCaption24,573,テキスト,,,,,,,,
SurfaceHubScreenshotCaption25,574,テキスト,,,,,,,,
SurfaceHubScreenshotCaption26,575,テキスト,,,,,,,,
SurfaceHubScreenshotCaption27,576,テキスト,,,,,,,,
SurfaceHubScreenshotCaption28,577,テキスト,,,,,,,,
SurfaceHubScreenshotCaption29,578,テキスト,,,,,,,,
SurfaceHubScreenshotCaption30,579,テキスト,,,,,,,,
StoreLogo720x1080,600,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
StoreLogo1080x1080,601,相対パス (またはパートナー センターにあるファイルへの URL),,logo.png,logo.png,logo.png,logo.png,logo.png,logo.png,logo.png
StoreLogo300x300,602,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
OverrideLogosForWin10,603,True/False,,False,False,False,False,False,False,False
StoreLogoOverride150x150,604,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
StoreLogoOverride71x71,605,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
PromoImage1920x1080,606,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
PromoImage2400x1200,607,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
XboxBrandedKeyArt584x800,608,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
XboxTitledHero1920x1080,609,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
XboxFeaturedPromo1080x1080,610,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
OptionalPromo358x358,611,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
OptionalPromo1000x800,612,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,
