Field,ID,Type (種類),default,ja,en,de,ko,vi,zh-cn,zh-tw,hi,ms,id,pt-BR
DesktopScreenshot1,100,相対パス (またはパートナー センターにあるファイルへの URL),,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069162/listingassets/3067428241962855085,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069164/listingassets/3067428241962855085,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069166/listingassets/3067428241962855085,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069168/listingassets/3067428241962855085,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069170/listingassets/3067428241962855085,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069172/listingassets/3067428241962855085,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069174/listingassets/3067428241962855085,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069162/listingassets/3067428241962855085,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069162/listingassets/3067428241962855085,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069162/listingassets/3067428241962855085,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069162/listingassets/3067428241962855085
DesktopScreenshot2,101,相対パス (またはパートナー センターにあるファイルへの URL),,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069162/listingassets/3029548867095727161,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069162/listingassets/3029548867095727161,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069162/listingassets/3029548867095727161,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069162/listingassets/3029548867095727161,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069162/listingassets/3029548867095727161,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069162/listingassets/3029548867095727161,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069162/listingassets/3029548867095727161,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069162/listingassets/3029548867095727161,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069162/listingassets/3029548867095727161,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069162/listingassets/3029548867095727161,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069162/listingassets/3029548867095727161
DesktopScreenshot3,102,相対パス (またはパートナー センターにあるファイルへの URL),,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069162/listingassets/3046338789428813803,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069162/listingassets/3046338789428813803,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069162/listingassets/3046338789428813803,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069162/listingassets/3046338789428813803,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069162/listingassets/3046338789428813803,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069162/listingassets/3046338789428813803,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069162/listingassets/3046338789428813803,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069162/listingassets/3046338789428813803,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069162/listingassets/3046338789428813803,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069162/listingassets/3046338789428813803,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069162/listingassets/3046338789428813803
DesktopScreenshot4,103,相対パス (またはパートナー センターにあるファイルへの URL),,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069162/listingassets/3048694499515620423,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069162/listingassets/3048694499515620423,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069162/listingassets/3048694499515620423,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069162/listingassets/3048694499515620423,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069162/listingassets/3048694499515620423,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069162/listingassets/3048694499515620423,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069162/listingassets/3048694499515620423,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069162/listingassets/3048694499515620423,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069162/listingassets/3048694499515620423,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069162/listingassets/3048694499515620423,https://developer.microsoft.com/en-us/dashboard/apps/9PJD2FDZQXM3/submissions/1152921505699903160/listings/1152922700022069162/listingassets/3048694499515620423
DesktopScreenshot5,104,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
DesktopScreenshot6,105,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
DesktopScreenshot7,106,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
DesktopScreenshot8,107,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
DesktopScreenshot9,108,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
DesktopScreenshot10,109,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
DesktopScreenshot11,110,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
DesktopScreenshot12,111,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
DesktopScreenshot13,112,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
DesktopScreenshot14,113,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
DesktopScreenshot15,114,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
DesktopScreenshot16,115,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
DesktopScreenshot17,116,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
DesktopScreenshot18,117,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
DesktopScreenshot19,118,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
DesktopScreenshot20,119,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
DesktopScreenshot21,120,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
DesktopScreenshot22,121,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
DesktopScreenshot23,122,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
DesktopScreenshot24,123,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
DesktopScreenshot25,124,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
DesktopScreenshot26,125,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
DesktopScreenshot27,126,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
DesktopScreenshot28,127,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
DesktopScreenshot29,128,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
DesktopScreenshot30,129,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
DesktopScreenshotCaption1,150,テキスト,,,,,,,,,,,,
DesktopScreenshotCaption2,151,テキスト,,,,,,,,,,,,
DesktopScreenshotCaption3,152,テキスト,,,,,,,,,,,,
DesktopScreenshotCaption4,153,テキスト,,,,,,,,,,,,
DesktopScreenshotCaption5,154,テキスト,,,,,,,,,,,,
DesktopScreenshotCaption6,155,テキスト,,,,,,,,,,,,
DesktopScreenshotCaption7,156,テキスト,,,,,,,,,,,,
DesktopScreenshotCaption8,157,テキスト,,,,,,,,,,,,
DesktopScreenshotCaption9,158,テキスト,,,,,,,,,,,,
DesktopScreenshotCaption10,159,テキスト,,,,,,,,,,,,
DesktopScreenshotCaption11,160,テキスト,,,,,,,,,,,,
DesktopScreenshotCaption12,161,テキスト,,,,,,,,,,,,
DesktopScreenshotCaption13,162,テキスト,,,,,,,,,,,,
DesktopScreenshotCaption14,163,テキスト,,,,,,,,,,,,
DesktopScreenshotCaption15,164,テキスト,,,,,,,,,,,,
DesktopScreenshotCaption16,165,テキスト,,,,,,,,,,,,
DesktopScreenshotCaption17,166,テキスト,,,,,,,,,,,,
DesktopScreenshotCaption18,167,テキスト,,,,,,,,,,,,
DesktopScreenshotCaption19,168,テキスト,,,,,,,,,,,,
DesktopScreenshotCaption20,169,テキスト,,,,,,,,,,,,
DesktopScreenshotCaption21,170,テキスト,,,,,,,,,,,,
DesktopScreenshotCaption22,171,テキスト,,,,,,,,,,,,
DesktopScreenshotCaption23,172,テキスト,,,,,,,,,,,,
DesktopScreenshotCaption24,173,テキスト,,,,,,,,,,,,
DesktopScreenshotCaption25,174,テキスト,,,,,,,,,,,,
DesktopScreenshotCaption26,175,テキスト,,,,,,,,,,,,
DesktopScreenshotCaption27,176,テキスト,,,,,,,,,,,,
DesktopScreenshotCaption28,177,テキスト,,,,,,,,,,,,
DesktopScreenshotCaption29,178,テキスト,,,,,,,,,,,,
DesktopScreenshotCaption30,179,テキスト,,,,,,,,,,,,
MobileScreenshot1,200,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
MobileScreenshot2,201,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
MobileScreenshot3,202,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
MobileScreenshot4,203,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
MobileScreenshot5,204,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
MobileScreenshot6,205,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
MobileScreenshot7,206,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
MobileScreenshot8,207,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
MobileScreenshot9,208,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
MobileScreenshot10,209,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
MobileScreenshot11,210,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
MobileScreenshot12,211,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
MobileScreenshot13,212,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
MobileScreenshot14,213,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
MobileScreenshot15,214,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
MobileScreenshot16,215,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
MobileScreenshot17,216,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
MobileScreenshot18,217,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
MobileScreenshot19,218,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
MobileScreenshot20,219,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
MobileScreenshot21,220,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
MobileScreenshot22,221,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
MobileScreenshot23,222,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
MobileScreenshot24,223,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
MobileScreenshot25,224,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
MobileScreenshot26,225,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
MobileScreenshot27,226,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
MobileScreenshot28,227,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
MobileScreenshot29,228,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
MobileScreenshot30,229,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
MobileScreenshotCaption1,250,テキスト,,,,,,,,,,,,
MobileScreenshotCaption2,251,テキスト,,,,,,,,,,,,
MobileScreenshotCaption3,252,テキスト,,,,,,,,,,,,
MobileScreenshotCaption4,253,テキスト,,,,,,,,,,,,
MobileScreenshotCaption5,254,テキスト,,,,,,,,,,,,
MobileScreenshotCaption6,255,テキスト,,,,,,,,,,,,
MobileScreenshotCaption7,256,テキスト,,,,,,,,,,,,
MobileScreenshotCaption8,257,テキスト,,,,,,,,,,,,
MobileScreenshotCaption9,258,テキスト,,,,,,,,,,,,
MobileScreenshotCaption10,259,テキスト,,,,,,,,,,,,
MobileScreenshotCaption11,260,テキスト,,,,,,,,,,,,
MobileScreenshotCaption12,261,テキスト,,,,,,,,,,,,
MobileScreenshotCaption13,262,テキスト,,,,,,,,,,,,
MobileScreenshotCaption14,263,テキスト,,,,,,,,,,,,
MobileScreenshotCaption15,264,テキスト,,,,,,,,,,,,
MobileScreenshotCaption16,265,テキスト,,,,,,,,,,,,
MobileScreenshotCaption17,266,テキスト,,,,,,,,,,,,
MobileScreenshotCaption18,267,テキスト,,,,,,,,,,,,
MobileScreenshotCaption19,268,テキスト,,,,,,,,,,,,
MobileScreenshotCaption20,269,テキスト,,,,,,,,,,,,
MobileScreenshotCaption21,270,テキスト,,,,,,,,,,,,
MobileScreenshotCaption22,271,テキスト,,,,,,,,,,,,
MobileScreenshotCaption23,272,テキスト,,,,,,,,,,,,
MobileScreenshotCaption24,273,テキスト,,,,,,,,,,,,
MobileScreenshotCaption25,274,テキスト,,,,,,,,,,,,
MobileScreenshotCaption26,275,テキスト,,,,,,,,,,,,
MobileScreenshotCaption27,276,テキスト,,,,,,,,,,,,
MobileScreenshotCaption28,277,テキスト,,,,,,,,,,,,
MobileScreenshotCaption29,278,テキスト,,,,,,,,,,,,
MobileScreenshotCaption30,279,テキスト,,,,,,,,,,,,
XboxScreenshot1,300,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
XboxScreenshot2,301,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
XboxScreenshot3,302,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
XboxScreenshot4,303,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
XboxScreenshot5,304,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
XboxScreenshot6,305,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
XboxScreenshot7,306,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
XboxScreenshot8,307,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
XboxScreenshot9,308,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
XboxScreenshot10,309,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
XboxScreenshot11,310,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
XboxScreenshot12,311,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
XboxScreenshot13,312,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
XboxScreenshot14,313,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
XboxScreenshot15,314,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
XboxScreenshot16,315,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
XboxScreenshot17,316,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
XboxScreenshot18,317,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
XboxScreenshot19,318,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
XboxScreenshot20,319,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
XboxScreenshot21,320,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
XboxScreenshot22,321,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
XboxScreenshot23,322,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
XboxScreenshot24,323,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
XboxScreenshot25,324,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
XboxScreenshot26,325,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
XboxScreenshot27,326,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
XboxScreenshot28,327,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
XboxScreenshot29,328,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
XboxScreenshot30,329,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,
XboxScreenshotCaption1,350,テキスト,,,,,,,,,,,,
